,seed,mse_train_lr,mse_train_rf,mse_train_gb,mse_train_mlp,mse_train_at,acc_train_lr,acc_train_rf,acc_train_gb,acc_train_mlp,acc_train_at,mse_test_lr,mse_test_rf,mse_test_gb,mse_test_mlp,mse_test_at,acc_test_lr,acc_test_rf,acc_test_gb,acc_test_mlp,acc_test_at
0,4951,2.402,2.494,2.34,0.6665,2.192,0.3895,0.367,0.3575,0.8445,0.3585,4.901,9.7965,5.1475,7.144,3.9065,0.243,0.219,0.263,0.2015,0.285
1,5657,4.224,4.3575,4.348,1.1665,4.018,0.3175,0.295,0.3055,0.824,0.273,6.6685,11.278,7.327,9.3225,4.6005,0.2075,0.1875,0.2215,0.1575,0.268
2,2743,12.471,13.0625,12.841,3.7665,14.6065,0.227,0.2105,0.263,0.7755,0.182,13.8585,17.8515,16.5315,14.8075,16.132,0.111,0.1085,0.1155,0.111,0.1315
3,6049,1.1045,1.358,1.172,0.3045,1.029,0.497,0.464,0.4535,0.877,0.4695,5.1145,7.722,2.8485,6.5535,4.0595,0.3175,0.31,0.395,0.243,0.361
4,5852,1.588,1.86,1.638,0.3735,1.4575,0.451,0.4185,0.439,0.869,0.418,5.0955,9.548,4.194,6.7415,1.9035,0.291,0.251,0.3045,0.205,0.352
5,6659,1.343,1.4545,1.2765,0.3195,1.1685,0.4765,0.441,0.5275,0.8715,0.4405,4.132,8.2655,3.3895,7.7135,1.483,0.3205,0.301,0.356,0.2335,0.384
6,9076,8.7785,11.254,9.6015,2.5585,8.926,0.2535,0.209,0.2655,0.796,0.214,9.303,16.1475,11.1865,12.4395,9.4495,0.1565,0.14,0.149,0.124,0.1665
7,470,0.9865,1.1775,1.1675,0.269,0.8915,0.514,0.4685,0.458,0.864,0.487,4.1195,8.076,4.418,6.135,1.6295,0.3615,0.329,0.3875,0.244,0.391
8,357,1.2855,1.496,1.3275,0.3085,1.163,0.4835,0.443,0.4335,0.8745,0.4395,4.1425,6.9515,3.669,6.8205,3.42,0.321,0.3115,0.3705,0.246,0.3335
9,5088,6.67,6.7515,6.641,2.59,6.9985,0.289,0.257,0.258,0.713,0.237,8.013,13.526,9.755,10.443,9.037,0.15,0.1585,0.155,0.1295,0.1905
10,7605,1.7805,2.1065,1.732,0.567,1.525,0.4385,0.3875,0.4275,0.832,0.3935,4.8635,9.3565,3.8045,6.7345,3.1495,0.2915,0.2615,0.3245,0.196,0.33
11,9549,0.9605,1.334,1.2245,0.166,0.8575,0.515,0.4585,0.4605,0.9015,0.499,4.475,7.645,3.7865,5.85,1.3955,0.365,0.329,0.406,0.2735,0.392
12,8231,1.321,1.593,1.441,0.354,1.262,0.4755,0.437,0.458,0.8635,0.45,4.946,8.137,4.3165,6.996,5.087,0.306,0.295,0.346,0.212,0.3055
13,8408,0.963,1.2135,1.04,0.2255,0.8125,0.5205,0.4695,0.516,0.88,0.486,5.1385,8.9355,4.2345,6.6425,1.868,0.333,0.3075,0.363,0.2465,0.387
14,5763,1.736,1.8795,2.037,0.4205,1.5505,0.4305,0.3975,0.3755,0.8565,0.3895,5.144,9.1745,6.566,6.876,2.6025,0.2665,0.2675,0.311,0.2015,0.3115
15,7226,2.169,2.306,1.8625,0.5495,1.9135,0.415,0.3765,0.554,0.862,0.388,5.088,9.391,6.81,6.7095,2.321,0.274,0.243,0.272,0.2145,0.2965
16,9244,0.885,1.069,0.992,0.243,0.862,0.527,0.486,0.4805,0.888,0.506,5.059,7.393,2.7695,7.5295,2.2805,0.337,0.338,0.394,0.236,0.395
17,2257,7.1755,7.0,6.9325,2.0695,6.3735,0.268,0.2395,0.256,0.799,0.2235,8.951,14.59,12.2675,11.215,8.048,0.1505,0.134,0.134,0.119,0.175
18,4295,1.4525,1.6275,1.455,0.3755,1.3005,0.45,0.4155,0.409,0.879,0.433,5.122,9.9055,4.4515,8.3305,3.437,0.2915,0.267,0.341,0.216,0.3335
19,8433,1.25,1.5325,1.3185,0.339,1.0775,0.4755,0.436,0.4325,0.869,0.4605,4.9675,8.4235,3.9265,7.45,3.482,0.313,0.2895,0.3775,0.232,0.338
